Name,id,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,HB,BB,SO,WHIP,HLD,GF,Team
Alberti Chavez,622482,0,0,7.20,3,0,0,0,0,5.0,11,7,4,2,0,6,0,3.40,0,3,Louisville Bats
Eric Stout,657770,2,1,7.26,15,7,0,0,0,39.2,48,33,32,14,1,29,30,1.94,1,1,Louisville Bats
Brad Markey,623490,2,3,7.49,11,5,0,0,0,33.2,41,30,28,4,2,15,13,1.66,0,2,Louisville Bats
Christian Colon,518568,0,0,9.00,1,0,0,0,0,2.0,3,2,2,0,0,1,0,2.00,0,1,Louisville Bats
Johendi Jiminian,593977,0,0,9.00,1,0,0,0,0,5.0,9,5,5,1,0,2,2,2.20,0,0,Louisville Bats
Rob Wooten,543942,0,1,13.50,3,3,0,0,0,7.1,12,11,11,0,3,4,6,2.18,0,0,Louisville Bats
Juan Martinez,622576,0,0,23.40,2,1,0,0,0,5.0,15,13,13,4,0,4,4,3.80,0,0,Louisville Bats
Hunter Cervenka,543017,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,0,1,Norfolk Tides
Tayler Scott,605463,0,0,0.00,10,0,0,0,4,13.0,9,0,0,0,0,1,17,0.77,2,6,Norfolk Tides
Dillon Tate,622253,0,0,0.00,1,0,0,0,1,1.0,1,0,0,0,0,0,1,1.00,0,1,Norfolk Tides
Yefry Ramirez,606162,1,1,1.50,4,4,0,0,0,18.0,11,4,3,2,0,9,24,1.11,0,0,Norfolk Tides
Dan Straily,573185,4,0,2.38,6,6,0,0,0,34.0,24,9,9,4,3,8,38,0.94,0,0,Norfolk Tides
Tanner Scott,656945,3,3,2.82,25,0,0,0,6,38.1,28,16,12,2,1,14,51,1.10,0,18,Norfolk Tides
David Hess,605276,2,1,4.15,9,2,0,0,1,26.0,23,12,12,4,0,5,31,1.08,1,1,Norfolk Tides
Sean Gilmartin,543219,2,3,4.31,27,3,0,0,0,56.1,48,29,27,6,3,22,62,1.24,2,4,Norfolk Tides
Jimmy Yacabonis,642231,1,2,4.35,13,0,0,0,2,20.2,20,13,10,2,0,13,21,1.60,0,7,Norfolk Tides
Tom Eshelman,664045,1,1,4.44,4,4,0,0,0,24.1,24,13,12,4,2,7,14,1.27,0,0,Norfolk Tides
Evan Phillips,623465,1,2,4.65,22,0,0,0,1,31.0,28,17,16,2,2,15,35,1.39,2,9,Norfolk Tides
Keegan Akin,669211,4,5,4.65,21,20,0,0,0,91.0,93,52,47,7,2,48,104,1.55,1,0,Norfolk Tides
Gabriel Ynoa,593679,1,0,4.76,3,3,0,0,0,17.0,13,9,9,3,1,6,13,1.12,0,0,Norfolk Tides
Hunter Harvey,640451,1,1,4.91,10,0,0,0,0,14.2,12,8,8,2,0,5,16,1.16,5,0,Norfolk Tides
Jay Flaa,664852,2,3,5.47,28,3,0,0,4,52.2,53,35,32,8,1,25,39,1.48,2,16,Norfolk Tides
Chandler Shepherd,605469,1,5,5.61,11,9,0,0,0,51.1,63,36,32,6,1,16,57,1.54,1,0,Norfolk Tides
Matt Wotherspoon,642226,5,2,5.71,32,3,0,0,1,63.0,62,41,40,10,5,27,65,1.41,1,8,Norfolk Tides
Bruce Zimmermann,669145,0,2,5.87,3,3,0,0,0,15.1,20,11,10,2,0,8,15,1.83,0,0,Norfolk Tides
Chris Lee,595296,3,2,5.91,18,0,0,0,2,45.2,55,35,30,8,1,22,46,1.69,1,7,Norfolk Tides
Josh Lucas,572998,0,1,6.10,18,0,0,0,2,20.2,23,15,14,4,2,12,17,1.69,1,12,Norfolk Tides
Luis Ortiz,656814,3,7,6.38,14,14,0,0,0,66.1,77,56,47,15,2,31,47,1.63,0,0,Norfolk Tides
Luis Ysla,644443,3,6,6.62,22,16,0,0,0,85.2,98,68,63,14,8,55,82,1.79,0,1,Norfolk Tides
Tanner Chleborad,607222,0,0,7.11,3,0,0,0,0,6.1,8,5,5,1,0,4,4,1.89,0,1,Norfolk Tides
Tyler Herb,600355,4,8,7.16,16,13,0,0,0,76.2,109,66,61,20,5,37,63,1.90,0,1,Norfolk Tides
Ty Blach,621389,0,0,7.71,1,1,0,0,0,2.1,4,2,2,0,0,2,4,2.57,0,0,Norfolk Tides
Francisco Jimenez,622465,1,0,7.71,4,0,0,0,0,11.2,14,10,10,4,0,5,16,1.63,0,1,Norfolk Tides
Branden Kline,571858,1,1,7.80,13,0,0,0,1,15.0,19,14,13,3,0,10,18,1.93,0,4,Norfolk Tides
Josh Rogers,642028,2,6,8.51,11,11,0,0,0,55.0,86,53,52,18,2,10,33,1.75,0,0,Norfolk Tides
Luis Gonzalez,593574,1,4,8.69,23,1,0,0,2,29.0,43,28,28,8,1,11,40,1.86,1,15,Norfolk Tides
Lucas Long,657664,0,2,9.53,7,1,0,0,0,11.1,19,14,12,1,0,4,8,2.03,1,2,Norfolk Tides
Pedro Araujo,606478,0,1,14.04,3,0,0,0,0,8.1,15,15,13,6,0,5,9,2.40,0,0,Norfolk Tides
Zach Muckenhirn,669105,0,1,17.18,4,0,0,0,0,3.2,9,7,7,1,0,4,8,3.55,0,2,Norfolk Tides
Tyler Erwin,670428,0,0,19.29,1,0,0,0,0,2.1,5,5,5,1,1,0,1,2.14,0,0,Norfolk Tides
Paul Fry,643316,0,0,36.00,1,0,0,0,0,1.0,4,4,4,1,0,1,3,5.00,0,0,Norfolk Tides
Nate Karns,501992,0,0,81.00,1,0,0,0,0,0.1,2,3,3,1,0,2,0,12.00,0,0,Norfolk Tides
Colten Brewer,605155,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,0,0,0,1.00,1,0,Pawtucket Red Sox
Nathan Eovaldi,543135,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,1,3,1.00,0,0,Pawtucket Red Sox
Heath Hembree,592390,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,0,0,Pawtucket Red Sox
Marcus Walden,519393,0,0,0.00,1,0,0,0,0,1.2,1,0,0,0,0,0,2,0.60,0,0,Pawtucket Red Sox
Ryan Brasier,518489,2,0,1.23,8,0,0,0,0,7.1,6,1,1,1,2,1,8,0.95,2,1,Pawtucket Red Sox
Trevor Kelley,665001,5,3,1.50,42,0,0,0,10,54.0,40,12,9,5,5,16,50,1.04,4,25,Pawtucket Red Sox
Konner Wade,592831,0,0,1.80,1,1,0,0,0,5.0,8,1,1,0,0,3,1,2.20,0,0,Pawtucket Red Sox
Steven Wright,453214,1,0,1.86,5,1,0,0,0,9.2,6,2,2,1,0,3,4,0.93,0,1,Pawtucket Red Sox
Tanner Houck,656557,0,0,2.38,8,0,0,0,0,11.1,7,4,3,1,3,10,10,1.50,3,2,Pawtucket Red Sox
Matthew Gorst,669054,1,1,2.70,9,1,0,0,0,13.1,10,4,4,1,0,13,8,1.73,0,2,Pawtucket Red Sox
Josh Taylor,657031,1,1,2.70,20,0,0,0,3,23.1,18,9,7,2,1,11,32,1.24,4,7,Pawtucket Red Sox
Brian Johnson,598271,1,0,3.68,6,3,0,0,0,14.2,13,6,6,1,1,8,19,1.43,1,0,Pawtucket Red Sox
Bobby Poyner,596074,2,5,3.70,36,1,0,0,5,48.2,40,23,20,7,3,22,59,1.27,4,14,Pawtucket Red Sox
Kyle Hart,606996,8,5,3.93,14,11,1,1,0,75.2,70,34,33,6,4,24,62,1.24,0,2,Pawtucket Red Sox
Hector Velazquez,584171,0,0,4.05,6,0,0,0,1,6.2,5,3,3,2,0,3,7,1.20,4,1,Pawtucket Red Sox
Erasmo Ramirez,541640,4,7,4.19,22,20,1,0,0,105.1,93,58,49,16,4,36,78,1.22,0,0,Pawtucket Red Sox
Teddy Stankiewicz,621103,5,6,4.30,19,18,1,1,0,102.2,112,52,49,22,1,35,79,1.43,0,0,Pawtucket Red Sox
Ryan Weber,543901,1,2,4.33,13,13,1,0,0,62.1,63,32,30,8,3,22,48,1.36,0,0,Pawtucket Red Sox
Kevin Lenik,667595,0,0,4.50,1,0,0,0,0,2.0,3,1,1,0,0,0,1,1.50,0,0,Pawtucket Red Sox
Cole Sturgeon,657017,0,0,4.50,2,0,0,0,0,2.0,1,1,1,0,0,2,2,1.50,0,2,Pawtucket Red Sox
Josh A. Smith,595001,5,2,4.76,12,11,1,0,0,64.1,70,37,34,8,3,20,68,1.40,0,0,Pawtucket Red Sox
Darwinzon Hernandez,650382,1,2,4.76,7,3,0,0,0,17.0,10,9,9,2,4,16,20,1.53,1,0,Pawtucket Red Sox
Mike Shawaryn,642067,1,2,4.90,21,11,0,0,0,71.2,60,42,39,10,5,41,66,1.41,3,1,Pawtucket Red Sox
Travis Lakins,664042,3,3,4.95,36,1,0,0,5,40.0,45,22,22,3,2,21,38,1.65,6,14,Pawtucket Red Sox
Domingo Tapia,593619,4,3,5.07,35,1,0,0,2,55.0,59,39,31,8,5,27,45,1.56,4,7,Pawtucket Red Sox
Dan Runzler,502130,1,1,5.40,22,0,0,0,1,26.2,26,19,16,3,3,15,22,1.54,3,1,Pawtucket Red Sox
Jeremy Bleich,542946,2,2,5.59,12,3,0,0,0,19.1,21,13,12,4,1,8,17,1.50,1,1,Pawtucket Red Sox
Adam Lau,665142,1,0,5.79,5,1,0,0,0,9.1,8,8,6,3,2,11,8,2.04,0,1,Pawtucket Red Sox
Jordan Weems,607179,0,1,6.17,8,1,0,0,0,11.2,14,9,8,1,0,6,14,1.71,0,2,Pawtucket Red Sox
Jenrry Mejia,516769,2,7,6.87,34,0,0,0,7,36.2,43,29,28,6,2,14,41,1.55,1,24,Pawtucket Red Sox
Daniel McGrath,600011,0,0,8.10,1,0,0,0,0,3.1,7,3,3,1,0,1,1,2.40,0,1,Pawtucket Red Sox
Matthew Kent,664236,1,4,8.70,6,6,0,0,0,30.0,37,29,29,8,2,15,14,1.73,0,0,Pawtucket Red Sox
Brian Ellington,623395,0,0,9.00,4,0,0,0,0,4.0,4,4,4,0,2,7,5,2.75,0,1,Pawtucket Red Sox
Chandler Shepherd,605469,0,5,10.01,8,7,0,0,0,29.2,53,43,33,11,5,16,30,2.33,0,0,Pawtucket Red Sox
Tyler Thornburg,592804,0,2,12.66,11,1,0,0,0,10.2,17,15,15,5,0,9,13,2.44,1,1,Pawtucket Red Sox
Dedgar Jimenez,642381,0,1,14.09,2,2,0,0,0,7.2,10,12,12,2,1,10,7,2.61,0,0,Pawtucket Red Sox
Jantzen Witte,642220,0,0,27.00,1,0,0,0,0,1.0,8,7,3,0,0,0,0,8.00,0,1,Pawtucket Red Sox
Tyler Duffey,608648,0,0,1.32,7,0,0,0,1,13.2,8,2,2,0,1,5,22,0.95,0,2,Rochester Red Wings
Cody Stashak,664054,5,0,1.61,12,2,0,0,0,22.1,16,5,4,1,0,4,31,0.90,0,5,Rochester Red Wings
Matt Magill,543483,0,1,1.69,5,1,0,0,1,5.1,2,1,1,0,0,1,8,0.56,1,2,Rochester Red Wings
Randy Dobnak,677976,4,1,2.00,7,5,0,0,0,36.0,22,9,8,0,1,14,27,1.00,0,0,Rochester Red Wings
Sam Clay,621348,1,1,2.19,8,0,0,0,1,12.1,11,4,3,0,1,6,15,1.38,1,1,Rochester Red Wings
Mike Morin,573046,0,1,2.25,8,1,0,0,1,12.0,11,4,3,1,0,3,12,1.17,1,5,Rochester Red Wings
Cody Allen,592102,0,2,3.38,7,1,0,0,0,8.0,7,5,3,1,0,5,7,1.50,1,1,Rochester Red Wings
Devin Smeltzer,656970,1,3,3.45,12,11,0,0,0,62.2,57,26,24,10,3,17,60,1.18,0,0,Rochester Red Wings
Adam Bray,665032,1,1,3.60,6,4,0,0,0,20.0,17,9,8,4,0,5,8,1.10,0,0,Rochester Red Wings
Jeremy Bleich,542946,1,1,3.68,6,1,0,0,0,7.1,7,3,3,0,0,2,12,1.23,0,2,Rochester Red Wings
Sean Poppen,664092,5,1,3.84,12,9,0,0,0,61.0,53,29,26,4,7,27,68,1.31,0,0,Rochester Red Wings
Zack Littell,641793,3,3,3.90,16,7,0,0,1,57.2,53,28,25,11,1,22,62,1.30,0,3,Rochester Red Wings
Carlos Torres,448614,4,1,4.15,8,0,0,0,0,17.1,19,8,8,1,1,8,16,1.56,0,3,Rochester Red Wings
Austin Adams,542866,1,1,4.50,11,1,0,0,1,18.0,16,9,9,3,1,6,28,1.22,0,7,Rochester Red Wings
Stephen Gonsalves,624427,0,1,4.50,1,1,0,0,0,2.0,1,1,1,0,0,5,2,3.00,0,0,Rochester Red Wings
Ryan O'Rourke,594951,1,0,4.50,1,0,0,0,0,2.0,2,1,1,0,0,3,1,2.50,0,1,Rochester Red Wings
Lewis Thorpe,626929,5,4,4.68,18,17,0,0,0,90.1,87,49,47,11,1,25,109,1.24,0,0,Rochester Red Wings
Fernando Romero,622864,2,2,4.72,27,1,0,0,1,47.2,45,29,25,7,6,21,51,1.38,5,6,Rochester Red Wings
Preston Guilmet,543258,2,6,5.09,38,3,0,0,8,58.1,59,39,33,13,1,19,74,1.34,2,25,Rochester Red Wings
Justin Nicolino,592593,1,1,5.12,4,3,0,0,0,19.1,22,12,11,2,1,8,13,1.55,0,0,Rochester Red Wings
Ian Krol,571871,0,1,5.23,18,0,0,0,8,20.2,27,13,12,1,0,10,30,1.79,0,15,Rochester Red Wings
Ryan Eades,592280,4,3,5.51,29,2,0,0,3,50.2,59,32,31,7,0,16,63,1.48,4,8,Rochester Red Wings
Kohl Stewart,640464,6,5,5.68,17,16,0,0,0,76.0,84,63,48,9,7,38,66,1.61,0,0,Rochester Red Wings
Jake Reed,596082,3,2,5.94,37,0,0,0,0,63.2,63,42,42,5,4,31,74,1.48,5,9,Rochester Red Wings
Griffin Jax,643377,1,0,6.00,1,1,0,0,0,6.0,8,4,4,1,0,3,3,1.83,0,0,Rochester Red Wings
Andrew Vasquez,607755,1,2,6.00,15,1,0,0,0,18.0,17,13,12,1,1,18,27,1.94,2,4,Rochester Red Wings
Drew Hutchison,571800,3,2,6.11,9,9,0,0,0,45.2,58,34,31,10,3,17,52,1.64,0,0,Rochester Red Wings
Daniel Camarena,547176,0,0,6.23,1,0,0,0,0,4.1,5,3,3,1,1,0,6,1.15,0,0,Rochester Red Wings
DJ Baxendale,571474,4,4,6.96,25,3,0,0,0,42.2,49,37,33,10,1,24,48,1.71,2,6,Rochester Red Wings
Gabriel Moya,622382,1,3,7.63,26,6,0,0,0,30.2,41,26,26,7,3,18,35,1.92,2,9,Rochester Red Wings
Charlie Barnes,656212,0,0,8.31,1,1,0,0,0,4.1,6,4,4,0,0,5,5,2.54,0,0,Rochester Red Wings
Trevor Hildenberger,657610,0,0,8.44,9,0,0,0,1,10.2,17,11,10,2,1,3,9,1.88,1,5,Rochester Red Wings
Andro Cutura,656345,0,0,9.00,1,1,0,0,0,4.0,7,4,4,1,0,2,0,2.25,0,0,Rochester Red Wings
Zack Weiss,592848,0,1,9.28,6,0,0,0,0,10.2,19,11,11,2,0,3,10,2.06,0,0,Rochester Red Wings
Chase De Jong,608328,0,5,9.73,13,10,0,0,0,45.1,72,53,49,16,4,26,30,2.16,0,0,Rochester Red Wings
Addison Reed,592665,0,0,14.40,5,1,0,0,0,5.0,13,8,8,4,0,1,5,2.80,1,0,Rochester Red Wings
Daniel Alvarez,656032,0,0,0.00,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0.00,0,0,Scranton/Wilkes-Barre RailRiders
Ben Heller,621294,0,0,0.00,3,3,0,0,0,4.0,2,0,0,0,0,1,5,0.75,0,0,Scranton/Wilkes-Barre RailRiders
Jake Barrett,545332,0,1,1.17,10,0,0,0,1,15.1,10,2,2,0,0,4,20,0.91,0,7,Scranton/Wilkes-Barre RailRiders
Josh Maciejewski,656671,0,0,1.50,1,1,0,0,0,6.0,5,1,1,0,0,1,6,1.00,0,0,Scranton/Wilkes-Barre RailRiders
Chad Green,643338,0,0,2.45,3,3,0,0,0,7.1,5,2,2,0,0,2,14,0.95,0,0,Scranton/Wilkes-Barre RailRiders
Brian Keller,662144,0,0,2.57,1,1,0,0,0,7.0,3,2,2,1,1,4,3,1.00,0,0,Scranton/Wilkes-Barre RailRiders
J.P. Feyereisen,656420,8,2,2.63,34,0,0,0,7,51.1,31,19,15,4,0,27,79,1.13,3,19,Scranton/Wilkes-Barre RailRiders
Jonathan Holder,656547,1,1,2.92,9,0,0,0,2,12.1,13,5,4,1,0,2,15,1.22,2,3,Scranton/Wilkes-Barre RailRiders
Daniel Bies,680768,0,0,3.00,1,0,0,0,0,3.0,2,2,1,0,0,3,3,1.67,0,0,Scranton/Wilkes-Barre RailRiders
Joe Harvey,642840,0,1,3.12,22,0,0,0,9,26.0,15,10,9,4,2,15,38,1.15,1,18,Scranton/Wilkes-Barre RailRiders
Stephen Tarpley,605501,5,1,3.13,18,2,0,0,3,31.2,25,15,11,3,1,13,34,1.20,0,6,Scranton/Wilkes-Barre RailRiders
Adonis Rosa,650738,4,0,3.45,9,4,0,0,0,44.1,43,20,17,7,0,11,39,1.22,0,0,Scranton/Wilkes-Barre RailRiders
David Sosebee,607729,4,1,3.47,29,0,0,0,6,46.2,44,21,18,6,1,19,59,1.35,0,17,Scranton/Wilkes-Barre RailRiders
Nestor Cortes Jr.,641482,2,2,3.86,7,6,0,0,0,39.2,29,17,17,3,1,11,42,1.01,0,0,Scranton/Wilkes-Barre RailRiders
Brady Lail,621078,1,0,3.97,7,0,0,0,0,11.1,8,5,5,2,2,1,11,0.79,1,4,Scranton/Wilkes-Barre RailRiders
David Hale,571735,3,2,4.13,7,7,1,0,0,32.2,36,17,15,3,2,10,30,1.41,0,0,Scranton/Wilkes-Barre RailRiders
Raynel Espinal,642659,5,7,4.32,18,12,1,0,0,75.0,73,37,36,10,4,22,79,1.27,0,1,Scranton/Wilkes-Barre RailRiders
Chance Adams,664856,4,3,4.46,15,15,1,1,0,78.2,76,40,39,10,5,37,76,1.44,0,0,Scranton/Wilkes-Barre RailRiders
Kaleb Ort,672391,4,0,4.55,18,0,0,0,2,27.2,26,16,14,2,2,20,44,1.66,1,8,Scranton/Wilkes-Barre RailRiders
Brody Koerner,621259,4,3,4.74,17,13,0,0,0,93.0,103,58,49,14,8,26,72,1.39,0,1,Scranton/Wilkes-Barre RailRiders
Drew Hutchison,571800,5,4,5.14,12,10,0,0,0,63.0,64,44,36,8,4,28,61,1.46,0,1,Scranton/Wilkes-Barre RailRiders
Danny Coulombe,543056,2,2,5.16,16,0,0,0,1,22.2,25,13,13,5,4,15,42,1.76,3,5,Scranton/Wilkes-Barre RailRiders
Cale Coshow,641483,2,1,5.28,14,0,0,0,2,15.1,16,13,9,3,1,10,22,1.70,0,10,Scranton/Wilkes-Barre RailRiders
Domingo Acevedo,642758,1,0,5.40,10,0,0,0,0,16.2,19,10,10,4,1,4,21,1.38,2,2,Scranton/Wilkes-Barre RailRiders
Gio Gonzalez,461829,2,1,6.00,3,3,0,0,0,15.0,19,10,10,1,0,6,19,1.67,0,0,Scranton/Wilkes-Barre RailRiders
Rex Brothers,571521,0,3,6.06,26,0,0,0,0,35.2,34,24,24,6,3,26,61,1.68,3,10,Scranton/Wilkes-Barre RailRiders
Deivi Garcia,665620,1,2,6.26,5,5,0,0,0,23.0,27,16,16,6,3,10,22,1.61,0,0,Scranton/Wilkes-Barre RailRiders
Daniel Camarena,547176,4,8,6.27,17,16,0,0,0,99.0,121,74,69,21,2,22,88,1.44,0,0,Scranton/Wilkes-Barre RailRiders
Randall Delgado,517414,2,5,6.49,10,10,0,0,0,51.1,62,41,37,9,2,16,44,1.52,0,0,Scranton/Wilkes-Barre RailRiders
Jonathan Loaisiga,642528,0,2,7.24,4,4,0,0,0,13.2,14,11,11,3,1,5,16,1.39,0,0,Scranton/Wilkes-Barre RailRiders
Will Carter,657203,1,1,8.82,9,0,0,0,0,16.1,17,16,16,3,1,14,6,1.90,0,3,Scranton/Wilkes-Barre RailRiders
Domingo German,593334,0,0,9.00,1,1,0,0,0,4.0,4,4,4,2,0,2,5,1.50,0,0,Scranton/Wilkes-Barre RailRiders
Janson Junk,676083,0,0,11.57,1,1,0,0,0,2.1,5,4,3,1,0,0,2,2.14,0,0,Scranton/Wilkes-Barre RailRiders
Danny Farquhar,543144,0,0,21.00,2,0,0,0,0,3.0,6,7,7,3,1,2,4,2.67,0,0,Scranton/Wilkes-Barre RailRiders
Shawn Semple,676111,0,0,21.60,1,1,0,0,0,3.1,8,8,8,1,0,3,2,3.30,0,0,Scranton/Wilkes-Barre RailRiders
Dan Jennings,543359,0,0,33.75,2,0,0,0,0,1.1,5,5,5,3,0,0,2,3.75,0,0,Scranton/Wilkes-Barre RailRiders
Luis Avilan,501593,0,0,0.00,2,0,0,0,0,2.1,0,0,0,0,0,0,4,0.00,0,0,Syracuse Mets
Jeurys Familia,544727,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,0,0,Syracuse Mets
Stephen Nogosek,668665,3,0,0.00,15,0,0,0,0,22.0,9,1,0,0,1,8,21,0.77,5,4,Syracuse Mets
Matt Blackham,657518,0,0,1.08,6,0,0,0,0,8.1,3,1,1,1,1,4,6,0.84,3,0,Syracuse Mets
Drew Gagnon,543193,6,4,2.15,12,12,0,0,0,71.0,60,23,17,9,4,14,61,1.04,0,0,Syracuse Mets
Corey Taylor,664219,2,0,2.37,10,1,0,0,0,19.0,20,5,5,0,0,7,15,1.42,2,1,Syracuse Mets
Tim Peterson,623402,2,6,2.82,33,0,0,0,8,44.2,31,15,14,6,0,12,45,0.96,3,23,Syracuse Mets
Ryan O'Rourke,594951,2,3,3.27,36,2,0,0,2,44.0,39,21,16,4,1,23,47,1.41,6,13,Syracuse Mets
Hector Santiago,502327,3,1,3.35,8,7,0,0,0,43.0,32,17,16,5,0,23,38,1.28,0,0,Syracuse Mets
Corey Oswalt,621261,7,3,3.39,12,12,1,0,0,63.2,68,29,24,7,2,10,64,1.23,0,0,Syracuse Mets
Paul Sewald,623149,3,3,3.54,39,0,0,0,3,48.1,55,23,19,6,4,15,47,1.45,6,10,Syracuse Mets
Harol Gonzalez,656083,2,0,3.63,4,3,0,0,0,17.1,17,7,7,4,3,4,10,1.21,0,0,Syracuse Mets
Chris Mazza,607391,3,3,3.72,11,11,0,0,0,65.1,54,29,27,5,3,16,56,1.07,0,0,Syracuse Mets
Walker Lockett,621141,2,2,3.83,9,8,0,0,0,47.0,58,25,20,5,2,11,31,1.47,0,0,Syracuse Mets
Tyler Bashlor,641341,3,2,4.20,26,0,0,0,3,30.0,28,14,14,3,2,12,31,1.33,5,13,Syracuse Mets
Chris Flexen,623167,5,2,4.41,23,11,0,0,0,69.1,81,35,34,11,1,19,84,1.44,1,4,Syracuse Mets
Daniel Zamora,623354,1,1,4.43,24,0,0,0,4,22.1,19,11,11,1,0,6,27,1.12,6,5,Syracuse Mets
Ervin Santana,429722,2,2,4.45,10,10,0,0,0,54.2,61,27,27,7,4,25,34,1.57,0,0,Syracuse Mets
Joseph Shaw,621256,0,0,4.50,1,0,0,0,0,2.0,2,2,1,1,0,2,0,2.00,0,0,Syracuse Mets
Justin Wilson,458677,0,0,4.50,2,2,0,0,0,2.0,3,1,1,0,0,0,4,1.50,0,0,Syracuse Mets
Eric Hanhold,621098,2,3,4.87,31,0,0,0,0,40.2,51,24,22,5,2,17,28,1.67,7,10,Syracuse Mets
Arquimedes Caminero,491708,0,2,5.09,17,0,0,0,8,17.2,18,11,10,4,2,10,15,1.58,2,13,Syracuse Mets
Jacob Rhame,642008,3,2,5.49,20,0,0,0,3,19.2,19,13,12,4,0,6,25,1.27,2,10,Syracuse Mets
Casey Coleman,488787,1,7,5.85,19,15,0,0,0,64.2,79,44,42,13,6,27,53,1.64,0,0,Syracuse Mets
Louis Coleman,488786,0,0,5.93,12,0,0,0,0,13.2,12,9,9,1,0,8,12,1.46,2,2,Syracuse Mets
Joe Zanghi,642236,0,0,6.35,5,0,0,0,0,5.2,7,4,4,1,0,5,6,2.12,0,1,Syracuse Mets
Anthony Kay,641743,1,3,6.61,7,7,0,0,0,31.1,40,23,23,7,3,11,26,1.63,0,0,Syracuse Mets
Stephen Villines,676644,0,0,6.75,13,0,0,0,0,16.0,23,13,12,4,1,8,12,1.94,1,5,Syracuse Mets
Zach Lee,545346,4,3,6.99,16,13,0,0,0,74.2,110,63,58,8,2,27,63,1.83,0,0,Syracuse Mets
Brooks Pounders,572044,0,2,7.80,12,1,0,0,0,15.0,21,14,13,4,4,5,15,1.73,1,1,Syracuse Mets
P.J. Conlon,664869,0,1,9.00,6,0,0,0,0,8.0,9,9,8,2,0,8,8,2.13,3,0,Syracuse Mets
Donnie Hart,643354,0,0,9.00,1,0,0,0,0,1.0,2,1,1,0,0,1,0,3.00,0,0,Syracuse Mets
Andrew Church,641455,0,1,13.50,1,1,0,0,0,3.1,10,6,5,1,0,2,1,3.60,0,0,Syracuse Mets
Ryley Gilliam,663894,2,0,13.50,10,0,0,0,0,9.1,19,14,14,3,0,9,12,3.00,1,0,Syracuse Mets
Sean Burnett,430634,0,0,15.63,5,0,0,0,0,6.1,12,11,11,3,0,6,2,2.84,0,1,Syracuse Mets
Rene Rivera,425784,0,0,18.00,1,0,0,0,0,1.0,2,2,2,0,0,1,0,3.00,0,1,Syracuse Mets
Mickey Jannis,595263,0,2,22.95,2,2,0,0,0,6.2,19,21,17,5,0,4,5,3.45,0,0,Syracuse Mets
David Roseboom,595389,0,1,45.00,2,0,0,0,0,1.0,4,5,5,0,0,4,2,8.00,0,0,Syracuse Mets
David McKay,641853,0,0,0.00,1,0,0,0,0,2.0,0,0,0,0,0,0,6,0.00,0,0,Toledo Mud Hens
Carlos Torres,448614,0,0,0.00,5,0,0,0,0,5.2,5,0,0,0,0,0,3,0.88,0,2,Toledo Mud Hens
Spencer Turnbull,605513,0,0,0.00,1,1,0,0,0,3.2,1,0,0,0,1,0,7,0.27,0,0,Toledo Mud Hens
Daniel Stumpf,621385,1,1,1.42,5,0,0,0,1,6.1,5,2,1,0,1,1,8,0.95,0,3,Toledo Mud Hens
Nick Ramirez,598286,0,1,2.00,2,2,0,0,0,9.0,12,5,2,1,1,3,10,1.67,0,0,Toledo Mud Hens
Eduardo Jimenez,621592,3,2,2.49,33,0,0,0,2,47.0,29,17,13,4,5,16,46,0.96,3,11,Toledo Mud Hens
Jose Cisnero,542585,1,2,2.70,32,2,0,0,7,40.0,36,14,12,3,2,21,49,1.43,0,23,Toledo Mud Hens
John Schreiber,670167,5,4,2.83,39,0,0,0,3,47.2,36,22,15,4,3,20,59,1.17,3,12,Toledo Mud Hens
Bryan Garcia,650530,2,0,3.29,25,0,0,0,0,27.1,23,11,10,4,0,10,30,1.21,5,3,Toledo Mud Hens
Ethan DeCaster,681915,1,1,3.46,10,0,0,0,1,13.0,12,5,5,2,0,3,17,1.15,0,4,Toledo Mud Hens
Tim Adleman,534947,6,4,3.48,14,13,2,0,0,77.2,66,33,30,11,1,24,88,1.16,0,1,Toledo Mud Hens
Caleb Thielbar,573204,2,1,3.92,43,0,0,0,2,64.1,66,28,28,7,2,14,76,1.24,3,17,Toledo Mud Hens
Drew VerHagen,572403,4,2,4.42,11,11,0,0,0,53.0,61,29,26,5,4,13,51,1.40,0,0,Toledo Mud Hens
Pete Kozma,518902,0,0,4.50,1,0,0,0,0,2.0,3,1,1,1,0,0,0,1.50,0,1,Toledo Mud Hens
Zac Reininger,643617,1,2,4.54,26,1,0,0,0,37.2,40,21,19,6,0,21,39,1.62,4,6,Toledo Mud Hens
Will Vest,676684,0,0,4.91,2,0,0,0,1,3.2,8,3,2,1,0,1,1,2.45,0,1,Toledo Mud Hens
Beau Burrows,663366,1,5,5.05,13,13,0,0,0,57.0,57,33,32,9,4,30,51,1.53,0,0,Toledo Mud Hens
